img_cluster_idx,txt_cluster_idx,cosine
0,16,0.11633973568677902
1,5,0.035391099750995636
2,0,0.1347629427909851
3,30,0.10917951166629791
4,22,0.1412087082862854
5,11,0.09703349322080612
6,12,0.079366035759449
7,1,0.1355086714029312
8,2,0.12385863810777664
9,21,0.11243700981140137
10,14,0.04269079118967056
11,7,0.12993183732032776
12,25,0.107361800968647
13,26,0.047970786690711975
14,18,0.10891493409872055
15,15,0.04262309521436691
16,10,0.1000664010643959
17,13,0.13847419619560242
18,28,0.113943912088871
19,4,0.12504705786705017
20,29,0.06946051120758057
21,17,0.08528225868940353
22,23,0.05744055658578873
23,31,0.03175165131688118
24,20,0.04930756986141205
25,19,0.030225109308958054
26,8,0.12661781907081604
27,6,0.0977407693862915
28,27,0.0812406837940216
29,24,0.020886963233351707
30,3,0.1265103667974472
31,9,0.07006388157606125
