metric_name,higher_is_better,K_img,K_txt,d_model,align_mean,align_std,align_min,align_max,num_pairs,fusion_high_mean,fusion_low_mean,num_fusion_high,num_fusion_low
macro_auroc,1,4,4,256,0.05359268933534622,0.0299631766974926,0.004147930070757866,0.08474406599998474,4,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,6,6,256,0.05175395682454109,0.034787338227033615,-0.006268701050430536,0.10145378112792969,6,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,16,16,256,0.07907113432884216,0.039697907865047455,-0.0072179329581558704,0.15259963274002075,16,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,32,32,256,0.09026996791362762,0.03683457151055336,0.020886961370706558,0.1412086933851242,32,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,4,4,256,0.05359269678592682,0.029963184148073196,0.004147923085838556,0.08474408090114594,4,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,6,6,256,0.05176191404461861,0.034799374639987946,-0.006268700584769249,0.10150451213121414,6,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,10,10,256,0.06206788495182991,0.033340130001306534,-0.008140399120748043,0.098518505692482,10,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,4,4,256,0.05359269678592682,0.029963184148073196,0.004147927742451429,0.08474408835172653,4,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,6,6,256,0.05175395309925079,0.03478733077645302,-0.006268697325140238,0.1014537662267685,6,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,10,10,256,0.06206787750124931,0.033340126276016235,-0.008140400052070618,0.0985184758901596,10,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,16,16,256,0.07907113432884216,0.03969791159033775,-0.007217934355139732,0.15259964764118195,16,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,24,24,256,0.09232264012098312,0.038478050380945206,0.019595516845583916,0.15521782636642456,24,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,32,32,256,0.09026995301246643,0.03683456778526306,0.020886965095996857,0.1412086933851242,32,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,64,64,256,0.10219426453113556,0.03317055478692055,0.02273680455982685,0.1619274914264679,64,0.9545830125688528,0.941938125089761,8,8
macro_auroc,1,128,128,256,0.10572226345539093,0.03570716828107834,0.00195220485329628,0.19833630323410034,128,0.9545830125688528,0.941938125089761,8,8
