modality,teacher_clients,student_client,n_vec_img,n_vec_txt,alpha,K_teacher
mm,"02,16,08,13,03",14,0,0,0.5,32
mm,"02,16,08,13,03",11,0,0,0.5,32
mm,"02,16,08,13,03",15,0,0,0.5,32
mm,"02,16,08,13,03",07,0,0,0.5,32
mm,"02,16,08,13,03",09,0,0,0.5,32
mm,"02,16,08,13,03",05,0,0,0.5,32
img,17,18,0,0,0.5,32
txt,20,19,0,0,0.5,32
mm,"02,16,08,13,03",14,0,0,0.5,32
mm,"02,16,08,13,03",11,0,0,0.5,32
mm,"02,16,08,13,03",15,0,0,0.5,32
mm,"02,16,08,13,03",07,0,0,0.5,32
mm,"02,16,08,13,03",09,0,0,0.5,32
mm,"02,16,08,13,03",05,0,0,0.5,32
img,17,18,0,0,0.5,32
txt,20,19,0,0,0.5,32
